"","variable_name","description"
"1","location","building on ETH H̦nggerberg at which bin is located"
"2","bin type","type of bin which was either a bin integrated into a waste station or a single bin"
"3","date","date on which waste bags were collected"
"4","time","time at which waste bags were collected"
"5","alu_nr","number of alu cans found in the bin"
"6","alu_kg","alu cans found in the bin in kilograms"
"7","pet_nr","number of pet bottles found in the bin"
"8","pet_kg","pet bottles found in the bin in kilograms"
"9","paper_kg","paper found in the bin in kilograms"
"10","glas_kg","glas found in the bin in kilograms"
"11","organic_kg","organic waste found in the bin in kilograms"
"12","general_waste_kg","general waste found in the bin in kilograms"
"13","total_kg","total waste collected in one bin"
